"ID","price","bedrooms","bathrooms","lot_size","year_built","postal_code","borough"
555,289900,3,1,413,1956,"H2G3C1","Rivière-des-Prairies–Pointe-aux-Trembles"
556,414700,3,2,600,1981,"H9C2H5","L'Île-Bizard–Sainte-Geneviève"
557,379000,4,3,322,1988,"H9J1W4","Pierrefonds-Roxboro"
558,1150000,5,2,258,1917,"H4A3L8","Côte-des-Neiges–Notre-Dame-de-Grâce"
559,750000,5,3,372,1975,"H4M2P7","Saint-Laurent"
560,489000,3,2,309,1991,"H1E7G7","Rivière-des-Prairies–Pointe-aux-Trembles"
561,439000,3,1,481,1985,"H9J3P1","Pierrefonds-Roxboro"
562,729000,3,2,186,1915,"H4E2W3","Le Sud-Ouest"
563,429000,2,1,404,1955,"H1G5M6","Montréal-Nord"
564,439000,2,1,372,1948,"H4L3S8","Saint-Laurent"
565,429000,4,3,1341,1977,"H9E1B7","L'Île-Bizard–Sainte-Geneviève"
566,549000,3,2,524,1950,"H8T2N3","Lachine"
567,379000,5,2,711,1973,"H9E1G5","L'Île-Bizard–Sainte-Geneviève"
568,574900,3,1,929,1981,"H1C1H9","Rivière-des-Prairies–Pointe-aux-Trembles"
569,449000,4,2,553,2000,"H9C1H7","L'Île-Bizard–Sainte-Geneviève"
570,489000,3,1,360,1984,"H1K4R8","Mercier–Hochelaga-Maisonneuve"
571,649000,4,2,470,1957,"H1K1Z2","Anjou"
572,399000,3,2,671,1984,"H1A3L8","Rivière-des-Prairies–Pointe-aux-Trembles"
573,369900,4,1,267,1978,"H8Y1Z4","Pierrefonds-Roxboro"
574,469000,3,1,308,1985,"H1K5A3","Anjou"
575,478000,3,2,397,1951,"H2A3J8","Villeray–Saint-Michel–Parc-Extension"
576,459000,4,1,395,1951,"H2A1C9","Villeray–Saint-Michel–Parc-Extension"
577,645000,4,2,731,1977,"H1E1V6","Rivière-des-Prairies–Pointe-aux-Trembles"
578,349000,4,2,711,1973,"H9E1G5","L'Île-Bizard–Sainte-Geneviève"
579,995000,5,2,557,1951,"H2B2A5","Ahuntsic-Cartierville"
580,939757.3605,4,3,418,1965,"H1P1G8","Saint-Léonard"
581,879000,6,2,586,1962,"H1K4A2","Anjou"
582,467700,4,2,432,1983,"H1E3R1","Rivière-des-Prairies–Pointe-aux-Trembles"
583,307000,3,1,296,1988,"H1C2A9","Rivière-des-Prairies–Pointe-aux-Trembles"
584,1249000,4,2,209,1920,"H4A2Z3","Côte-des-Neiges–Notre-Dame-de-Grâce"
585,989000,4,3,591,1982,"H4K1H4","Ahuntsic-Cartierville"
586,269000,4,2,158,1970,"H1A3E6","Rivière-des-Prairies–Pointe-aux-Trembles"
